34630,-175.259E-3,+0.84293E+0,131.1080
34629,-175.263E-3,+0.84292E+0,131.1117
34628,-175.252E-3,+0.84292E+0,131.1117
34627,-175.253E-3,+0.84293E+0,131.1080
34626,-175.255E-3,+0.84291E+0,131.1155
34625,-175.265E-3,+0.84292E+0,131.1117
34624,-175.259E-3,+0.84293E+0,131.1080
34623,-175.256E-3,+0.84293E+0,131.1080
34622,-175.258E-3,+0.84293E+0,131.1080
34621,-175.263E-3,+0.84294E+0,131.1043
34620,-175.257E-3,+0.84293E+0,131.1080
34619,-175.264E-3,+0.84292E+0,131.1117
34618,-175.262E-3,+0.84291E+0,131.1155
34617,-175.259E-3,+0.84290E+0,131.1192
34616,-175.266E-3,+0.84291E+0,131.1155
34615,-175.263E-3,+0.84290E+0,131.1192
34614,-175.255E-3,+0.84295E+0,131.1005
34613,-175.258E-3,+0.84292E+0,131.1117
34612,-175.259E-3,+0.84292E+0,131.1117
34611,-175.251E-3,+0.84293E+0,131.1080
34610,-175.261E-3,+0.84292E+0,131.1117
34609,-175.265E-3,+0.84291E+0,131.1155
34608,-175.257E-3,+0.84293E+0,131.1080
34607,-175.264E-3,+0.84293E+0,131.1080
34606,-175.252E-3,+0.84292E+0,131.1117
34605,-175.260E-3,+0.84292E+0,131.1117
34604,-175.261E-3,+0.84292E+0,131.1117
34603,-175.262E-3,+0.84294E+0,131.1043
34602,-175.261E-3,+0.84292E+0,131.1117
34601,-175.254E-3,+0.84293E+0,131.1080
34600,-175.251E-3,+0.84293E+0,131.1080
34599,-175.258E-3,+0.84292E+0,131.1117
34598,-175.260E-3,+0.84292E+0,131.1117
34597,-175.261E-3,+0.84291E+0,131.1155
34596,-175.258E-3,+0.84292E+0,131.1117
34595,-175.259E-3,+0.84291E+0,131.1155
34594,-175.257E-3,+0.84292E+0,131.1117
34593,-175.253E-3,+0.84292E+0,131.1117
34592,-175.260E-3,+0.84293E+0,131.1080
34591,-175.255E-3,+0.84292E+0,131.1117
34590,-175.253E-3,+0.84291E+0,131.1155
34589,-175.258E-3,+0.84293E+0,131.1080
34588,-175.255E-3,+0.84291E+0,131.1155
34587,-175.260E-3,+0.84292E+0,131.1117
34586,-175.256E-3,+0.84292E+0,131.1117
34585,-175.258E-3,+0.84291E+0,131.1155
34584,-175.258E-3,+0.84293E+0,131.1080
34583,-175.257E-3,+0.84291E+0,131.1155
34582,-175.259E-3,+0.84291E+0,131.1155
34581,-175.255E-3,+0.84291E+0,131.1155
34580,-175.257E-3,+0.84291E+0,131.1155
34579,-175.258E-3,+0.84293E+0,131.1080
34578,-175.262E-3,+0.84291E+0,131.1155
34577,-175.265E-3,+0.84293E+0,131.1080
34576,-175.256E-3,+0.84290E+0,131.1192
34575,-175.261E-3,+0.84290E+0,131.1192
34574,-175.246E-3,+0.84292E+0,131.1117
34573,-175.251E-3,+0.84291E+0,131.1155
34572,-175.257E-3,+0.84290E+0,131.1192
34571,-175.266E-3,+0.84292E+0,131.1117
34570,-175.259E-3,+0.84292E+0,131.1117
34569,-175.263E-3,+0.84292E+0,131.1117
34568,-175.259E-3,+0.84293E+0,131.1080
34567,-175.257E-3,+0.84294E+0,131.1043
34566,-175.256E-3,+0.84291E+0,131.1155
34565,-175.261E-3,+0.84293E+0,131.1080
34564,-175.253E-3,+0.84293E+0,131.1080
34563,-175.264E-3,+0.84294E+0,131.1043
34562,-175.260E-3,+0.84292E+0,131.1117
34561,-175.259E-3,+0.84291E+0,131.1155
34560,-175.259E-3,+0.84291E+0,131.1155
34559,-175.256E-3,+0.84293E+0,131.1080
34558,-175.261E-3,+0.84291E+0,131.1155
34557,-175.266E-3,+0.84292E+0,131.1117
34556,-175.267E-3,+0.84293E+0,131.1080
34555,-175.263E-3,+0.84293E+0,131.1080
34554,-175.258E-3,+0.84292E+0,131.1117
34553,-175.256E-3,+0.84290E+0,131.1192
34552,-175.265E-3,+0.84291E+0,131.1155
34551,-175.258E-3,+0.84292E+0,131.1117
34550,-175.255E-3,+0.84290E+0,131.1192
34549,-175.259E-3,+0.84291E+0,131.1155
34548,-175.256E-3,+0.84291E+0,131.1155
34547,-175.264E-3,+0.84292E+0,131.1117
34546,-175.263E-3,+0.84292E+0,131.1117
34545,-175.258E-3,+0.84290E+0,131.1192
34544,-175.260E-3,+0.84292E+0,131.1117
